N¼,Nombre,Total,Por mil (ä)
634,LAURA FERNANDA,29,"0,180"
635,LEIDY YULIANA,29,"0,180"
636,LUISA ALEJANDRA,29,"0,180"
637,LUZ PATRICIA,29,"0,180"
638,MARIA ANGEL,29,"0,180"
639,MARIA ELVIA,29,"0,180"
640,MARIA ISABELLA,29,"0,180"
641,MARIA LUZ DARY,29,"0,180"
642,MARIA MONICA,29,"0,180"
643,NICOLLE,29,"0,180"
644,SANDRA XIMENA,29,"0,180"
645,SANDRA YANETH,29,"0,180"
646,ALBA MARINA,28,"0,174"
647,CARMEN JULIA,28,"0,174"
648,CLAUDIA YANETH,28,"0,174"
649,DIANA MARITZA,28,"0,174"
650,ELISA,28,"0,174"
651,ELSA,28,"0,174"
652,ERIKA ALEJANDRA,28,"0,174"
653,ERIKA PATRICIA,28,"0,174"
654,ESTHER,28,"0,174"
655,JULIANA MARIA,28,"0,174"
656,JULY ANDREA,28,"0,174"
657,LADY VIVIANA,28,"0,174"
658,LAURA MILENA,28,"0,174"
659,LEIDY PAOLA,28,"0,174"
660,LUZ AYDA,28,"0,174"
661,MADELEINE,28,"0,174"
662,MARIA DORIS,28,"0,174"
663,MARIA FANNY,28,"0,174"
664,NELCY,28,"0,174"
665,PAULA,28,"0,174"
666,ABIGAIL,27,"0,168"
667,ARACELY,27,"0,168"
668,ARGENIS,27,"0,168"
669,CAMILA ALEJANDRA,27,"0,168"
670,CLAUDIA JIMENA,27,"0,168"
671,ERIKA VIVIANA,27,"0,168"
672,EVELIN,27,"0,168"
673,GLORIA MILENA,27,"0,168"
674,KAROL DANIELA,27,"0,168"
675,KAROL DAYANA,27,"0,168"
676,LINA ALEJANDRA,27,"0,168"
677,LINA PATRICIA,27,"0,168"
678,MARIA CONSTANZA,27,"0,168"
679,MARLEN,27,"0,168"
680,MARTA LILIANA,27,"0,168"
681,MAYRA ALEXANDRA,27,"0,168"
682,MELBA,27,"0,168"
683,PAMELA,27,"0,168"
684,ROSA ELVIRA,27,"0,168"
685,ROSANA,27,"0,168"
686,SANDRA BIBIANA,27,"0,168"
687,SIRLEY,27,"0,168"
688,VALERY SOFIA,27,"0,168"
689,YOHANA,27,"0,168"
690,ALEXANDRA MARIA,26,"0,161"
691,ANGIE,26,"0,161"
692,BRENDA,26,"0,161"
693,CATERINE,26,"0,161"
694,CINDY VANESSA,26,"0,161"
695,CRUZ ELENA,26,"0,161"
696,EDNA ROCIO,26,"0,161"
697,ELVIA,26,"0,161"
698,EMILIA,26,"0,161"
699,IRENE,26,"0,161"
700,JENNY PATRICIA,26,"0,161"
701,LADY TATIANA,26,"0,161"
702,LEYDI VANESSA,26,"0,161"
703,LUDIVIA,26,"0,161"
704,MARIA ESTHER,26,"0,161"
705,MARIA GLORIA,26,"0,161"
706,MARIA LIBIA,26,"0,161"
707,MARIA MAGNOLIA,26,"0,161"
708,NATHALIE,26,"0,161"
709,OLGA CECILIA,26,"0,161"
710,OLGA MILENA,26,"0,161"
711,ROSARIO,26,"0,161"
712,VIOLETTA,26,"0,161"
713,VIVIANA PATRICIA,26,"0,161"
714,ALBA NELLY,25,"0,155"
715,ARIADNA,25,"0,155"
716,AYDEE,25,"0,155"
717,BIBIANA ANDREA,25,"0,155"
718,CLAUDIA ALEJANDRA,25,"0,155"
719,DIANA LIZETH,25,"0,155"
720,DIANA XIMENA,25,"0,155"
721,DIOSELINA,25,"0,155"
722,ESTEFANI,25,"0,155"
723,GLORIA EUGENIA,25,"0,155"
724,ISABEL SOFIA,25,"0,155"
725,JENNIFER PAOLA,25,"0,155"
726,JIMENA,25,"0,155"
727,JUANA,25,"0,155"
728,JUANA VALENTINA,25,"0,155"
729,LEYDI VIVIANA,25,"0,155"
730,MAGALY,25,"0,155"
731,MARIA CLEMENCIA,25,"0,155"
732,MARIA GRACIELA,25,"0,155"
733,MARIA IRENE,25,"0,155"
734,MARIA NATALIA,25,"0,155"
735,MARISELA,25,"0,155"
